GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,C0,C1,C2,Csu,BUS ID
1,107,NUC,N,,,1,2430.0,729.0,894.24,-199.26,48,48,121.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.378403404,0.3,0.5333333333333333,0.7666666666666666,1.0,,3598445.116307768,16453.39051027334,18833.761954710917,21214.133399148533,,0,17.44,0.003,1200,107
2,100,CT,G,,,1,304.6,91.38,170.58,-19.49,1,2,68.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.80128,0.3,0.5333333333333333,0.7666666666666666,1.0,,9177.903930131004,927.388027171276,962.6817823580784,997.9755375448811,,597,27.85,0.008,69,100
3,100,CT,G,,,1,236.0,70.8,132.16,-15.1,1,2,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.80128,0.3,0.5333333333333333,0.7666666666666666,1.0,,6286.462882,1360.395147986414,1381.5817874818051,1402.7684269771953,,363,55.0,0.008,61,100
4,100,CT,G,,,1,176.4,52.92,98.78,-11.29,1,2,44.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.80128,0.3,0.5333333333333333,0.7666666666666666,1.0,,3543.406113537118,886.2161397379913,898.0529648908292,909.8897900436692,,548,48.13,0.008,46,100
5,100,CT,G,,,1,380.7,114.21,213.19,-24.36,1,2,76.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.80128,0.3,0.5333333333333333,0.7666666666666666,1.0,,6151.048034934498,1425.8572663755454,1480.9892761572044,1536.1212859388654,,316,34.22,0.008,37,100
7,100,CT,G,,,1,177.3,53.19,99.29,-11.35,1,2,41.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.80128,0.3,0.5333333333333333,0.7666666666666666,1.0,,4567.991266375546,830.3266114,842.2845285589518,854.2424457641919,,49,44.78,0.008,59,100
8,100,CT,G,,,1,381.8,114.54,213.81,-24.44,1,2,83.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.80128,0.3,0.5333333333333333,0.7666666666666666,1.0,,10336.94323144105,1377.3550781174183,1432.8061466084423,1488.2572150994667,,435,32.86,0.008,62,100
9,50,PV,S,,,1,2.66,0.0,0.0,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,50
10,62,CT,G,,,1,92.7,27.81,51.91,-5.93,1,2,18.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.80128,0.3,0.5333333333333333,0.7666666666666666,1.0,,2469.301310043668,229.1268733624454,232.39574253275103,235.6646117030571,,340,23.64,0.008,61,62
11,62,CT,G,,,1,678.1,203.43,379.74,-43.4,1,2,177.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.80128,0.3,0.5333333333333333,0.7666666666666666,1.0,,20431.83406113537,3994.3215642891814,4169.235962270741,4344.150360252307,,2129,53.29,0.008,69,62
